relationship_slug,relationship_file,source,target,relationship_type,source_type,target_type,source_label,target_label,source_org_api_url,target_org_api_url,target_org_web_url
academy_for_justice_commissioning_superseded_by_academy_for_social_justice_commissioning,academy_for_justice_commissioning_superseded_by_academy_for_social_justice_commissioning.yml,academy_for_justice_commissioning,academy_for_social_justice_commissioning,superseded_by_organisation,ORGANIZATION,ORGANIZATION,academy_for_justice_commissioning,academy_for_social_justice_commissioning,https://www.gov.uk/api/organisations/academy-for-justice-commissioning,https://www.gov.uk/api/organisations/academy-for-social-justice-commissioning,https://www.gov.uk/government/organisations/academy-for-social-justice-commissioning
academy_for_social_justice_parent_ministry_of_justice,academy_for_social_justice_parent_ministry_of_justice.yml,academy_for_social_justice,ministry_of_justice,has_parent_organisation,ORGANIZATION,ORGANIZATION,academy_for_social_justice,ministry_of_justice,https://www.gov.uk/api/organisations/academy-for-social-justice,https://www.gov.uk/api/organisations/ministry-of-justice,https://www.gov.uk/government/organisations/ministry-of-justice
academy_for_social_justice_supersedes_academy_for_social_justice_commissioning,academy_for_social_justice_supersedes_academy_for_social_justice_commissioning.yml,academy_for_social_justice,academy_for_social_justice_commissioning,supersedes_organisation,ORGANIZATION,ORGANIZATION,academy_for_social_justice,academy_for_social_justice_commissioning,https://www.gov.uk/api/organisations/academy-for-social-justice,https://www.gov.uk/api/organisations/academy-for-social-justice-commissioning,https://www.gov.uk/government/organisations/academy-for-social-justice-commissioning
academy_for_social_justice_commissioning_supersedes_academy_for_justice_commissioning,academy_for_social_justice_commissioning_supersedes_academy_for_justice_commissioning.yml,academy_for_social_justice_commissioning,academy_for_justice_commissioning,supersedes_organisation,ORGANIZATION,ORGANIZATION,academy_for_social_justice_commissioning,academy_for_justice_commissioning,https://www.gov.uk/api/organisations/academy-for-social-justice-commissioning,https://www.gov.uk/api/organisations/academy-for-justice-commissioning,https://www.gov.uk/government/organisations/academy-for-justice-commissioning
academy_for_social_justice_commissioning_superseded_by_academy_for_social_justice,academy_for_social_justice_commissioning_superseded_by_academy_for_social_justice.yml,academy_for_social_justice_commissioning,academy_for_social_justice,superseded_by_organisation,ORGANIZATION,ORGANIZATION,academy_for_social_justice_commissioning,academy_for_social_justice,https://www.gov.uk/api/organisations/academy-for-social-justice-commissioning,https://www.gov.uk/api/organisations/academy-for-social-justice,https://www.gov.uk/government/organisations/academy-for-social-justice
accelerated_access_review_parent_department_of_health_and_social_care,accelerated_access_review_parent_department_of_health_and_social_care.yml,accelerated_access_review,department_of_health_and_social_care,has_parent_organisation,ORGANIZATION,ORGANIZATION,accelerated_access_review,department_of_health_and_social_care,https://www.gov.uk/api/organisations/accelerated-access-review,https://www.gov.uk/api/organisations/department-of-health-and-social-care,https://www.gov.uk/government/organisations/department-of-health-and-social-care
accelerated_capability_environment_parent_home_office,accelerated_capability_environment_parent_home_office.yml,accelerated_capability_environment,home_office,has_parent_organisation,ORGANIZATION,ORGANIZATION,accelerated_capability_environment,home_office,https://www.gov.uk/api/organisations/accelerated-capability-environment,https://www.gov.uk/api/organisations/home-office,https://www.gov.uk/government/organisations/home-office
active_travel_england_parent_department_for_transport,active_travel_england_parent_department_for_transport.yml,active_travel_england,department_for_transport,has_parent_organisation,ORGANIZATION,ORGANIZATION,active_travel_england,department_for_transport,https://www.gov.uk/api/organisations/active-travel-england,https://www.gov.uk/api/organisations/department-for-transport,https://www.gov.uk/government/organisations/department-for-transport
administration_of_radioactive_substances_advisory_committee_parent_department_of_health_and_social_care,administration_of_radioactive_substances_advisory_committee_parent_department_of_health_and_social_care.yml,administration_of_radioactive_substances_advisory_committee,department_of_health_and_social_care,has_parent_organisation,ORGANIZATION,ORGANIZATION,administration_of_radioactive_substances_advisory_committee,department_of_health_and_social_care,https://www.gov.uk/api/organisations/administration-of-radioactive-substances-advisory-committee,https://www.gov.uk/api/organisations/department-of-health-and-social-care,https://www.gov.uk/government/organisations/department-of-health-and-social-care
administrative_court_parent_hm_courts_and_tribunals_service,administrative_court_parent_hm_courts_and_tribunals_service.yml,administrative_court,hm_courts_and_tribunals_service,has_parent_organisation,ORGANIZATION,ORGANIZATION,administrative_court,hm_courts_and_tribunals_service,https://www.gov.uk/api/organisations/administrative-court,https://www.gov.uk/api/organisations/hm-courts-and-tribunals-service,https://www.gov.uk/government/organisations/hm-courts-and-tribunals-service
administrative_justice_and_tribunals_council_parent_ministry_of_justice,administrative_justice_and_tribunals_council_parent_ministry_of_justice.yml,administrative_justice_and_tribunals_council,ministry_of_justice,has_parent_organisation,ORGANIZATION,ORGANIZATION,administrative_justice_and_tribunals_council,ministry_of_justice,https://www.gov.uk/api/organisations/administrative-justice-and-tribunals-council,https://www.gov.uk/api/organisations/ministry-of-justice,https://www.gov.uk/government/organisations/ministry-of-justice
